"filename", "language", "HTML", "JavaScript", "CSS", "XML", "Markdown", "comment", "blank", "total"
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/grid/grid1.html", "HTML", 46, 0, 0, 0, 0, 0, 4, 50
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/grid/grid2lines.html", "HTML", 69, 0, 0, 0, 0, 0, 0, 69
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/grid/grid3.html", "HTML", 65, 0, 0, 0, 0, 0, 1, 66
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/grid/grid4.html", "HTML", 81, 0, 0, 0, 0, 0, 0, 81
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/grid/grid5.html", "HTML", 56, 0, 0, 0, 0, 0, 1, 57
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/grid/grid6.html", "HTML", 77, 0, 0, 0, 0, 0, 1, 78
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/animate.css", "CSS", 0, 0, 2655, 0, 0, 10, 494, 3159
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/bootstrap.min.css", "CSS", 0, 0, 1, 0, 0, 5, 0, 6
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/font-awesome.min.css", "CSS", 0, 0, 1, 0, 0, 3, 1, 5
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/magnific-popup.css", "CSS", 0, 0, 310, 0, 0, 6, 36, 352
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/owl.carousel.css", "CSS", 0, 0, 132, 0, 0, 23, 16, 171
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/owl.theme.default.min.css", "CSS", 0, 0, 1, 0, 0, 5, 0, 6
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/templatemo-style.css", "CSS", 0, 0, 753, 0, 0, 49, 206, 1008
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/fonts/fontawesome-webfont.svg", "XML", 0, 0, 0, 2671, 0, 0, 1, 2672
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/index.html", "HTML", 423, 0, 0, 0, 0, 35, 83, 541
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/bootstrap.min.js", "JavaScript", 0, 2, 0, 0, 0, 5, 0, 7
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/custom.js", "JavaScript", 0, 53, 0, 0, 0, 45, 20, 118
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/jquery.js", "JavaScript", 0, 3, 0, 0, 0, 1, 0, 4
